day seroconversion
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0.02172077755490031
10	0.04178486974683802
11	0.07090373173340205
12	0.10919378079797466
13	0.15580371547675959
14	0.20916632895056714
15	0.26731689170959627
16	0.32818868957438657
17	0.3898388249729426
18	0.45059182157925476
19	0.5091094588544824
20	0.5644044082765673
21	0.6158166607395998
22	0.6629691236290427
23	0.7057146998738554
24	0.7440831116584474
25	0.7782323701025372
26	0.8084073053548193
27	0.834905897213735
28	0.8580531235799028
29	0.8781814958094333
30	0.8956172210088428
31	0.9106709005069354
32	0.9236317543330671
33	0.9347644952801952
34	0.9443081265013942
35	0.9524760824304093
36	0.9594572632629924
37	0.9654176239196679
38	0.9705020687788756
39	0.9748364750461679
40	0.9785297229107967
41	0.9816756523234815
42	0.984354896971279
43	0.9866365681724674
44	0.9885797769345942
45	0.9902349929759101
46	0.9916452463973903
47	0.9928471818292575
48	0.9938719771908943
49	0.994746140208117
50	0.9954921958956506
51	0.9961292777452614
52	0.9966736345483599
53	0.9971390637813596
54	0.9975372814064213
55	0.9978782368608197
56	0.9981703809706257
57	0.9984208935559324
58	0.9986358766097109
59	0.9988205181361277
60	0.9989792310265574
61	0.9991157707287536
62	0.9992333349207702
63	0.9993346479292357
64	0.999422032224092
65	0.9994974689715975
66	0.9995626493273206
67	0.9996190178945458
68	0.9996678095551701
69	0.9997100806934388
70	0.9997467356788413
71	0.9997785493388949
72	0.9998061860323523
73	0.9998302158500517
74	0.9998511283837511
75	0.9998693444340795
76	0.9998852259721595
77	0.9998990846208266
78	0.9999111888802382
79	0.9999217702879486
80	0.999931028674243
81	0.9999391366488026
82	0.999946243433905
83	0.9999524781417454
84	0.9999579525785732
85	0.999962763645739
86  0.9999669953993054
87	0.9999707208123947
88	0.9999740032837837
89	0.9999768979458099
90	0.9999794527849488
91	0.9999817096009282
92	0.9999837048329981
93	0.9999854702735261
94	0.9999870336836446
95	0.9999884193243904
96	0.9999896484153344
97	0.9999907395309554
98	0.9999917089434978
99	0.9999925709197813
100	0.999993337978353
